"Baron_MELANOCYTIC" "Baron_NC-like" "Baron_STRESS" "Hoek_INV" "Hoek_PRO" "Rambow_HYPERdiff" "Rambow_INVASIVE" "Rambow_NCSC" "Rambow_SMC" "Tirosh_AXL" "Tirosh_MITF" "Tsoi_MELANOCYTIC" "Tsoi_NCL_Transitory" "Tsoi_NEURAL_CREST_like" "Tsoi_TRANSITORY" "Tsoi_Transitory_melanocytic" "Tsoi_UNDIFF" "Tsoi_Undiff_NCL" "Verfaillie_IMMUNE" "Verfaillie_INV" "Verfaillie_PRO" "Woodman_MEL" "Woodman_MES" "Woodman_NPLAS" "Wouters_INTERMEDIATE" "Wouters_MELANOCYTIC" "Wouters_MES_like" "Treatment"
"NT_1" 1721.42981598286 963.273111245829 1392.98290690298 566.415604566575 130.024445202893 27.1517975356411 94.0547816941097 30.8063995603475 28.9387081120876 638.045014751526 394.827811406008 56.6808119417679 18.8313860703918 40.7835538284408 19.9209331888244 39.9744974450474 144.301167894617 319.136188292086 5.23463568726841 48.0124509888628 18.9730004061686 63.6856321007335 343.644165055858 36.4471660232553 31.3278686028123 36.0823332135761 51.9744393354771 "NT"
"NT_2" 1781.86260220336 968.087091637737 1573.67515420871 551.155620945329 141.089059551342 30.7070157583371 95.0733966728386 29.7906897452828 25.0262391743227 632.219190150945 424.078536188469 60.9176205589668 20.3231424979015 43.8398979735418 19.3915114753709 43.4162838856492 145.794690038058 309.714096362631 5.25932284055803 47.3703225278251 19.4072165965716 68.0359759810303 339.656942550221 36.1520359205605 31.4807516994173 36.3526263838505 51.8940932510588 "NT"
"NT_3" 1928.0600354959 980.118699463146 1269.60841001941 525.708555210907 131.716190681764 29.8684297553702 91.3691079118451 29.3883302198367 25.3236690395459 614.537275392759 412.405425394179 59.2852854825645 19.8414188993299 42.5801656688303 18.3169606422957 38.1181450474836 130.074342029792 307.896297183986 4.96120474769168 44.2333260244422 18.19228849669 67.8965214476192 326.80610144193 34.1387710404546 30.9976287907675 35.1824649925154 48.5013300817762 "NT"
"NT_4" 1728.65841084874 932.926390772652 1380.11554061545 538.94212220553 149.419343293469 33.5036845755849 90.0090007252303 27.7682508192391 25.4135158778407 596.583730425939 408.218666913148 60.1669385004394 19.4897021102561 44.3380899615232 18.6171928065308 41.6694748564305 150.573309537674 322.74597317086 5.18581437132944 45.2173569981956 18.9770644529974 71.3792635944798 331.373315594682 33.891290026142 30.7507619159451 36.0903974785519 51.6927872509916 "NT"
"NT_5" 1713.9784056201 939.005145549893 1315.86881355252 538.415181254129 140.077976297136 25.637279018283 85.7360137480242 29.5985786299695 22.4578297656698 617.258431773252 392.480079195153 60.8574211967256 17.9376635153849 43.7394948050915 19.3275544207567 39.4772609680402 149.801952193796 317.512379931411 5.19080786552119 45.0350507197062 18.2262877033551 65.2142571229284 336.904971119886 34.4105493649696 29.7668059849073 35.1073756334681 50.8839024862443 "NT"
"S1P_24H_1" 2243.69496695948 1234.05227667607 1222.88383899321 1005.82525702688 129.327864348161 24.3569398744688 117.520509113488 36.5915491370326 20.4824386852962 661.211617411202 434.365980224383 42.9925552510961 18.0013325284786 66.387044168421 26.3186679878513 32.002380274814 174.277745447255 478.733208178676 5.0767313306781 66.6731943270617 14.6899577513197 57.9504602458167 559.410364670349 32.5182678271537 36.5983717642496 30.5815950591214 58.3777475203133 "S1P"
"S1P_24H_2" 2194.31963196615 1198.55993255577 1197.08072722908 951.379383633721 132.895812906055 24.4766551250898 117.79579239613 39.5565439244778 20.748963262335 648.671449894595 443.791136392094 44.6544435375076 19.9088696223073 68.6507632172211 23.8516670363562 33.7241971819028 175.101489841133 466.438786845853 5.22947519502186 65.8302784130962 15.5378399530462 57.7348657384013 534.656535495062 36.1124989006507 38.7898001290938 31.0931901168104 59.2792115661237 "S1P"
"S1P_24H_3" 2210.873365168 1215.99901178504 1242.82708764417 1002.72005889089 134.344995829379 20.6449417002589 116.215511707943 40.7991118192738 19.9729140377278 674.721468516159 424.87468572924 43.9119852947224 17.7465815024606 65.7198491057232 24.4113573789768 32.4287152391747 178.762631868242 492.594494059739 5.18106087553076 68.641849240975 15.3516657041866 57.4023410866558 575.718421799959 33.7162169757318 37.861962678681 30.7840971299224 59.3846618846902 "S1P"
"S1P_24H_4" 2137.17498634058 1175.0341944239 1172.01635586956 934.642713799928 134.532112205113 23.2730056799214 116.397220486383 39.5292811339663 18.7726693316867 653.489350791064 423.590209854416 42.4240329990552 20.2106331923846 63.0605169088911 23.1821637526828 33.5494433575793 169.574644821845 457.079293383379 5.19940158763877 64.8156643194167 15.8065359851563 59.9810313467453 534.05460320267 35.3253888812409 37.6974780645831 31.0117023407252 59.4855108290918 "S1P"
"S1P_24H_5" 2143.74084783042 1185.83343272131 1199.34408838071 926.599832869462 139.436277904699 25.6837073624582 114.82452989226 37.9653145909545 23.4211737690246 700.022914960941 433.748382498566 47.0895965599953 18.383714415532 64.797415870675 25.3465616445215 35.3536267870648 178.853168413632 460.080928866044 5.26842203336066 65.8799092296666 16.1336027159896 61.543617545066 544.012906625186 33.6159808936416 37.409354485706 32.5879579616058 58.9068208230582 "S1P"
